date,AUDUSD,EURUSD,GBPUSD,JPYUSD,NZDUSD,USDCAD,USDCHF,USDNOK,USDSEK
2024-06-03T00:00:00.000000000,0.6656903028488159,1.0853049755096436,1.2743724584579468,0.006362132728099823,0.6148586869239807,1.3618899583816528,0.9013199806213379,10.492500305175781,10.523200035095215
2024-06-04T00:00:00.000000000,0.669008195400238,1.0907385349273682,1.2810165882110596,0.00640713470056653,0.6193599700927734,1.3628699779510498,0.8950200080871582,10.446999549865723,10.405960083007812
2024-06-05T00:00:00.000000000,0.6646201014518738,1.0881866216659546,1.2773023843765259,0.00644645607098937,0.6174706816673279,1.3676199913024902,0.8899499773979187,10.550939559936523,10.419839859008789
2024-06-06T00:00:00.000000000,0.6657789945602417,1.087453007698059,1.2794759273529053,0.006413175258785486,0.6196286082267761,1.36899995803833,0.8924999833106995,10.567279815673828,10.38539981842041
2024-06-07T00:00:00.000000000,0.6669601202011108,1.0894432067871094,1.2793285846710205,0.006422731094062328,0.6197015643119812,1.366819977760315,0.8897200226783752,10.550239562988281,10.384710311889648
2024-06-10T00:00:00.000000000,0.6582714915275574,1.0778882503509521,1.2729448080062866,0.006376209203153849,0.6106199026107788,1.3759000301361084,0.8960999846458435,10.71500015258789,10.55739974975586
2024-06-11T00:00:00.000000000,0.6608948111534119,1.0764262676239014,1.2726370096206665,0.006367804482579231,0.6128314733505249,1.3761199712753296,0.8965799808502197,10.643850326538086,10.475700378417969
2024-06-12T00:00:00.000000000,0.6607699394226074,1.0740330219268799,1.274047613143921,0.006365169771015644,0.614601731300354,1.3754899501800537,0.8977800011634827,10.690159797668457,10.481599807739258
2024-06-13T00:00:00.000000000,0.6662899851799011,1.0813149213790894,1.27962327003479,0.006377550773322582,0.6186816692352295,1.372189998626709,0.8942599892616272,10.579500198364258,10.377599716186523
2024-06-14T00:00:00.000000000,0.6633102893829346,1.0738831758499146,1.2755101919174194,0.006364237982779741,0.6161011457443237,1.3740999698638916,0.8939300179481506,10.648750305175781,10.478099822998047
2024-06-17T00:00:00.000000000,0.6612882018089294,1.0702168941497803,1.2683112621307373,0.006347352173179388,0.6137416958808899,1.3732999563217163,0.8907300233840942,10.675200462341309,10.520480155944824
2024-06-18T00:00:00.000000000,0.6622077822685242,1.0740677118301392,1.2715997695922852,0.006341154221445322,0.613800048828125,1.3713300228118896,0.8883000016212463,10.648209571838379,10.467849731445312
2024-06-19T00:00:00.000000000,0.6661200523376465,1.0742292404174805,1.2707449197769165,0.006334285717457533,0.614058256149292,1.3716200590133667,0.8841800093650818,10.574250221252441,10.434000015258789
2024-06-20T00:00:00.000000000,0.6675300002098083,1.0751532316207886,1.2721998691558838,0.006330796983093023,0.6139414310455322,1.3705799579620361,0.8842999935150146,10.5625,10.436699867248535
2024-06-21T00:00:00.000000000,0.6660698652267456,1.0706409215927124,1.2660471200942993,0.006292038597166538,0.6122798919677734,1.3684699535369873,0.8914899826049805,10.54010009765625,10.493200302124023
2024-06-24T00:00:00.000000000,0.6635000109672546,1.0687757730484009,1.2639029026031494,0.006255434826016426,0.6111199259757996,1.370129942893982,0.89410001039505,10.579970359802246,10.51272964477539
2024-06-25T00:00:00.000000000,0.6654599905014038,1.0732723474502563,1.268343448638916,0.006262289360165596,0.6120513081550598,1.3657900094985962,0.8931900262832642,10.532400131225586,10.471599578857422
2024-06-26T00:00:00.000000000,0.6644800901412964,1.0709619522094727,1.268399715423584,0.006262289360165596,0.6119089722633362,1.3661099672317505,0.8952000141143799,10.614899635314941,10.508899688720703
2024-06-27T00:00:00.000000000,0.6644783020019531,1.068010926246643,1.262179970741272,0.006225835997611284,0.6080284118652344,1.3704500198364258,0.8967000246047974,10.683819770812988,10.576720237731934
2024-06-28T00:00:00.000000000,0.6650599241256714,1.0708472728729248,1.2645741701126099,0.0062232790514826775,0.6084686517715454,1.3699300289154053,0.8985199928283691,10.65526008605957,10.623290061950684
2024-07-01T00:00:00.000000000,0.6674007773399353,1.0735257863998413,1.2648621797561646,0.006214770022779703,0.6099197268486023,1.3672699928283691,0.9002000093460083,10.661399841308594,10.566100120544434
2024-07-02T00:00:00.000000000,0.6654599905014038,1.0737102031707764,1.2645741701126099,0.006191490683704615,0.6064796447753906,1.3737800121307373,0.9031599760055542,10.658470153808594,10.615679740905762
2024-07-03T00:00:00.000000000,0.6668298244476318,1.0748412609100342,1.2690355777740479,0.006191797088831663,0.6082206964492798,1.3676799535751343,0.903689980506897,10.66586971282959,10.57229995727539
2024-07-04T00:00:00.000000000,0.6710900068283081,1.0793308019638062,1.2747784852981567,0.006187314633280039,0.6107205748558044,1.3633300065994263,0.9007599949836731,10.547430038452148,10.482640266418457
2024-07-05T00:00:00.000000000,0.6725085377693176,1.0810693502426147,1.2755752801895142,0.0061973994597792625,0.611340343952179,1.3615200519561768,0.9002500176429749,10.566100120544434,10.502690315246582
2024-07-08T00:00:00.000000000,0.6746591329574585,1.082602620124817,1.2806508541107178,0.006225177086889744,0.6141110062599182,1.363800048828125,0.8952299952507019,10.563400268554688,10.460800170898438
2024-07-09T00:00:00.000000000,0.6743202209472656,1.0830950736999512,1.2815583944320679,0.006216702051460743,0.6131207942962646,1.3629499673843384,0.8978099822998047,10.60116958618164,10.581000328063965
2024-07-10T00:00:00.000000000,0.6741496920585632,1.0814785957336426,1.2787723541259766,0.006198436953127384,0.6127113103866577,1.3630000352859497,0.8974000215530396,10.602519989013672,10.54916000366211
2024-07-11T00:00:00.000000000,0.6751797795295715,1.083329677581787,1.285264492034912,0.006187851075083017,0.6087983250617981,1.3617199659347534,0.8992000222206116,10.711739540100098,10.544010162353516
2024-07-12T00:00:00.000000000,0.6768500804901123,1.0872756242752075,1.292373776435852,0.006321072578430176,0.6094588041305542,1.3624399900436401,0.8960300087928772,10.713029861450195,10.488309860229492
2024-07-15T00:00:00.000000000,0.6771998405456543,1.0885539054870605,1.2966804504394531,0.006316600367426872,0.6095516681671143,1.3645999431610107,0.8968899846076965,10.739100456237793,10.558609962463379
2024-07-16T00:00:00.000000000,0.6763300895690918,1.0901559591293335,1.2970000505447388,0.006323470734059811,0.6076810956001282,1.3675999641418457,0.8954700231552124,10.804699897766113,10.599570274353027
2024-07-17T00:00:00.000000000,0.6731998324394226,1.0902509689331055,1.29776930809021,0.006315124686807394,0.6069099307060242,1.3669500350952148,0.8932200074195862,10.771820068359375,10.57544994354248
2024-07-18T00:00:00.000000000,0.6730697751045227,1.094020128250122,1.3007453680038452,0.006423185113817453,0.608061671257019,1.3678699731826782,0.8823500275611877,10.714460372924805,10.544899940490723
2024-07-19T00:00:00.000000000,0.6705500483512878,1.0901559591293335,1.2951691150665283,0.006363347172737122,0.6043793559074402,1.3702000379562378,0.8873000144958496,10.808150291442871,10.58942985534668
2024-07-22T00:00:00.000000000,0.6696308851242065,1.0899182558059692,1.2933096885681152,0.0063523524440824986,0.6024205088615417,1.3707000017166138,0.8880100250244141,10.878780364990234,10.646900177001953
2024-07-23T00:00:00.000000000,0.6640105843544006,1.0889805555343628,1.2932428121566772,0.0063738515600562096,0.5978501439094543,1.3761199712753296,0.8895000219345093,10.957229614257812,10.722940444946289
2024-07-24T00:00:00.000000000,0.6612094640731812,1.0850694179534912,1.2901561260223389,0.006419803481549025,0.595291256904602,1.3785799741744995,0.8915200233459473,11.017060279846191,10.766730308532715
2024-07-25T00:00:00.000000000,0.6574798822402954,1.0839520692825317,1.289989709854126,0.0064981053583323956,0.5927295684814453,1.3810299634933472,0.8850200176239014,11.025799751281738,10.773799896240234
2024-07-26T00:00:00.000000000,0.6542999744415283,1.0851283073425293,1.2856775522232056,0.006506307516247034,0.5889801979064941,1.3819299936294556,0.8806399703025818,11.024749755859375,10.824029922485352
2024-07-29T00:00:00.000000000,0.6554999947547913,1.0853756666183472,1.2868356704711914,0.006487650331109762,0.5889000296592712,1.3827999830245972,0.8842999935150146,11.004599571228027,10.815640449523926
2024-07-30T00:00:00.000000000,0.6551405787467957,1.081946611404419,1.286041259765625,0.006500556133687496,0.5877305269241333,1.3855799436569214,0.8860999941825867,10.99841022491455,10.829950332641602
2024-07-31T00:00:00.000000000,0.6541501879692078,1.0816072225570679,1.2836971282958984,0.006550075486302376,0.5902003049850464,1.3849600553512573,0.8820300102233887,10.945549964904785,10.76060962677002
2024-08-01T00:00:00.000000000,0.6547001004219055,1.082391619682312,1.2853139638900757,0.00667806388810277,0.595181405544281,1.3808300495147705,0.8781399726867676,10.89783000946045,10.68865966796875
2024-08-02T00:00:00.000000000,0.6494898200035095,1.0787602663040161,1.27289617061615,0.006702367682009935,0.5936197638511658,1.3880599737167358,0.8729000091552734,10.951979637145996,10.727899551391602
